alpha,beta,num_topics,coherence
asymmetric,1.0,10,0.43923601938403956
asymmetric,symmetric,3,0.4269090365267556
asymmetric,symmetric,4,0.4107315861655233
asymmetric,symmetric,5,0.4248356150966174
asymmetric,symmetric,6,0.4247321215617168
asymmetric,symmetric,7,0.42488140858939705
asymmetric,symmetric,8,0.4223342445702235
asymmetric,symmetric,9,0.42179746464728773
asymmetric,symmetric,10,0.43372769105035636
asymmetric,auto,3,0.42668842816065106
asymmetric,auto,4,0.42849970336280263
asymmetric,auto,5,0.43866351004358045
asymmetric,auto,6,0.4246518660302711
asymmetric,auto,7,0.42270277749211377
asymmetric,auto,8,0.4108802412488573
asymmetric,auto,9,0.4258091612348749
asymmetric,auto,10,0.4127608852931319
